Date,Nav,Units,Tran_Value,Num_Days,Fund Value
2013-01-01,94.763,211.0528370777624,20000.0,3787.0,20000.0
2013-01-02,95.482,211.0528370777624,0.0,0.0,20151.74698985891
2013-01-03,95.844,211.0528370777624,0.0,0.0,20228.148116881057
2013-01-04,96.538,211.0528370777624,0.0,0.0,20374.618785813025
2013-01-07,96.434,211.0528370777624,0.0,0.0,20352.669290756938
2013-01-08,96.402,211.0528370777624,0.0,0.0,20345.915599970453
2013-01-09,96.418,211.0528370777624,0.0,0.0,20349.292445363695
2013-01-10,96.253,211.0528370777624,0.0,0.0,20314.468727245865
2013-01-11,96.059,211.0528370777624,0.0,0.0,20273.524476852777
2013-01-14,97.135,211.0528370777624,0.0,0.0,20500.61732954845
2013-01-15,97.701,211.0528370777624,0.0,0.0,20620.073235334465
2013-01-16,96.606,211.0528370777624,0.0,0.0,20388.970378734313
2013-01-17,97.15,211.0528370777624,0.0,0.0,20503.783122104618
2013-01-18,98.238,211.0528370777624,0.0,0.0,20733.408608845224
2013-01-21,98.615,211.0528370777624,0.0,0.0,20812.97552842354
2013-01-22,97.818,211.0528370777624,0.0,0.0,20644.766417272564
2013-01-23,97.409,211.0528370777624,0.0,0.0,20558.44580690776
2013-01-24,95.85,211.0528370777624,0.0,0.0,20229.414433903527
2013-01-25,96.974,211.0528370777624,0.0,0.0,20466.637822778932
2013-01-28,97.06,211.0528370777624,0.0,0.0,20484.788366767618
2013-01-29,96.684,211.0528370777624,0.0,0.0,20405.43250002638
2013-01-30,96.62,418.04931813758435,20000.0,3758.0,40391.9251184534
2013-01-31,96.507,418.04931813758435,0.0,0.0,40344.68554550385
2013-02-01,96.356,418.04931813758435,0.0,0.0,40281.560098465074
2013-02-04,95.687,418.04931813758435,0.0,0.0,40001.88510463103
2013-02-05,94.693,418.04931813758435,0.0,0.0,39586.34408240228
2013-02-06,94.743,418.04931813758435,0.0,0.0,39607.24654830915
2013-02-07,94.385,418.04931813758435,0.0,0.0,39457.5848924159
2013-02-08,93.269,418.04931813758435,0.0,0.0,38991.04185337436
2013-02-11,93.164,418.04931813758435,0.0,0.0,38947.14667496991
2013-02-12,93.318,418.04931813758435,0.0,0.0,39011.5262699631
2013-02-13,93.265,418.04931813758435,0.0,0.0,38989.36965610181
2013-02-14,92.121,418.04931813758435,0.0,0.0,38511.12123615241
2013-02-15,91.831,418.04931813758435,0.0,0.0,38389.88693389251
2013-02-18,92.073,418.04931813758435,0.0,0.0,38491.0548688818
